X,Y,ELEV,ELEVATION
645026.250,4474509.640,1445.060059,1445.06
645026.750,4474509.790,1445.050049,1445.05
645027.250,4474509.930,1444.969971,1444.97
645027.690,4474510.110,1444.939941,1444.94
645028.190,4474510.290,1444.930054,1444.93
645028.630,4474510.460,1444.900024,1444.9
645029.130,4474510.630,1444.910034,1444.91
645029.620,4474510.830,1444.800049,1444.8
645030.060,4474511.040,1444.890015,1444.89
645030.560,4474511.250,1445.000000,1445
645031.000,4474511.440,1444.939941,1444.94
645031.440,4474511.600,1445.000000,1445
645031.940,4474511.760,1445.229980,1445.23
645032.370,4474511.910,1445.300049,1445.3
645032.870,4474512.090,1445.359985,1445.36
645033.380,4474512.270,1445.349976,1445.35
645033.810,4474512.450,1445.380005,1445.38
645034.310,4474512.630,1445.410034,1445.41
645034.810,4474512.800,1445.349976,1445.35
645035.250,4474512.990,1445.300049,1445.3
645035.750,4474513.180,1445.150024,1445.15
645036.190,4474513.340,1445.010010,1445.01
645036.690,4474513.490,1444.969971,1444.97
645037.130,4474513.670,1445.040039,1445.04
645037.620,4474513.850,1445.089966,1445.09
645038.130,4474514.030,1445.030029,1445.03
645038.620,4474514.220,1445.099976,1445.1
645039.190,4474514.410,1445.140015,1445.14
645039.690,4474514.640,1445.170044,1445.17
645040.190,4474514.880,1445.209961,1445.21
645040.750,4474515.150,1445.229980,1445.23
645041.250,4474515.420,1445.319946,1445.32
645041.870,4474515.760,1445.380005,1445.38
645042.440,4474516.060,1445.349976,1445.35
645042.940,4474516.370,1445.400024,1445.4
645043.500,4474516.690,1445.459961,1445.46
645044.000,4474516.960,1445.520020,1445.52
645044.500,4474517.210,1445.489990,1445.49
645045.000,4474517.460,1445.469971,1445.47
645045.500,4474517.700,1445.410034,1445.41
645045.940,4474517.930,1445.380005,1445.38
645046.440,4474518.130,1445.250000,1445.25
645046.940,4474518.330,1445.250000,1445.25
645047.440,4474518.570,1445.189941,1445.19
645047.870,4474518.810,1445.069946,1445.07
645048.380,4474519.040,1445.030029,1445.03
645039.490,4474517.250,1445.109985,1445.11
